checkpoint_time,wait_time,vehicles_in_queue
2024-04-03 15:33:33,766320,427
2024-04-03 16:02:17,753300,418
2024-04-03 17:01:54,755160,419
2024-04-03 18:02:03,755160,419
2024-04-03 19:02:02,758880,421
2024-04-03 20:02:15,758880,421
2024-04-03 21:02:04,760740,422
2024-04-03 22:02:10,760740,422
2024-04-03 23:02:16,734700,409
2024-04-04 01:23:49,736560,409
2024-04-04 02:08:59,736560,409
2024-04-04 03:02:11,736560,409
2024-04-04 04:02:29,736560,409
2024-04-04 05:02:08,704940,394
2024-04-04 06:02:17,703080,394
2024-04-04 07:02:13,703080,394
2024-04-04 08:02:04,704940,395
2024-04-04 09:02:19,710520,397
