checkpoint_time,wait_time,vehicles_in_queue
2025-03-24 14:02:16,241200,204
2025-03-24 15:02:19,244800,214
2025-03-24 16:02:34,254400,220
2025-03-24 17:02:17,266400,229
2025-03-24 18:02:37,272400,234
2025-03-24 19:02:06,274800,237
2025-03-24 20:02:20,272400,238
2025-03-24 21:02:19,278460,232
2025-03-24 22:02:07,274680,231
2025-03-24 23:02:21,265860,224
2025-03-25 00:08:55,262080,222
2025-03-25 01:29:29,254520,217
2025-03-25 02:28:29,254520,215
2025-03-25 03:13:33,243180,208
2025-03-25 04:02:45,243180,206
2025-03-25 05:02:15,239400,201
2025-03-25 06:02:52,234360,199
2025-03-25 07:02:20,236880,201
2025-03-25 08:02:46,235620,200
2025-03-25 09:02:23,224280,190
2025-03-25 10:02:25,226800,194
2025-03-25 11:02:05,234360,199
2025-03-25 12:03:26,231840,196
2025-03-25 13:08:06,239400,202
2025-03-25 14:02:27,246960,208
2025-03-25 15:02:18,248220,209
2025-03-25 16:02:39,259560,220
2025-03-25 17:02:18,254520,221
2025-03-25 18:02:53,255780,222
2025-03-25 19:02:07,258300,224
2025-03-25 20:02:31,243180,214
2025-03-25 21:02:09,221760,207
2025-03-25 22:02:09,214200,209
2025-03-25 23:02:10,204120,203
2025-03-26 00:08:43,195300,196
2025-03-26 01:29:30,201600,195
2025-03-26 02:27:55,202860,195
2025-03-26 03:12:22,186480,184
2025-03-26 04:02:52,189000,184
2025-03-26 05:02:17,190260,181
2025-03-26 06:02:54,196560,181
2025-03-26 07:02:25,199080,180
2025-03-26 08:02:51,209160,187
2025-03-26 09:02:25,202860,182
2025-03-26 10:02:23,209160,189
2025-03-26 11:02:08,209160,188
2025-03-26 12:03:20,210420,188
2025-03-26 13:08:43,207900,183
2025-03-26 14:02:31,216720,191
2025-03-26 15:02:35,215460,192
2025-03-26 16:02:57,224280,191
2025-03-26 17:02:20,233100,196
2025-03-26 18:03:09,241920,201
2025-03-26 19:02:13,241920,201
2025-03-26 20:02:18,231840,202
2025-03-26 21:02:09,233100,202
2025-03-26 22:02:01,229320,201
2025-03-26 23:02:17,223020,198
2025-03-27 00:08:32,208800,194
2025-03-27 01:29:36,206400,189
2025-03-27 02:28:21,201600,187
2025-03-27 03:13:14,194400,184
2025-03-27 04:02:30,195600,181
2025-03-27 05:02:19,196800,179
2025-03-27 06:02:56,201600,179
2025-03-27 07:02:21,208800,190
2025-03-27 08:02:37,196800,185
2025-03-27 09:02:27,202800,188
2025-03-27 10:02:25,224400,201
2025-03-27 11:02:12,220800,203
2025-03-27 12:03:22,235200,212
2025-03-27 13:08:13,252000,226
2025-03-27 14:02:13,247200,228
2025-03-27 15:02:21,258000,240
2025-03-27 16:02:32,274800,249
2025-03-27 17:02:13,288000,257
2025-03-27 18:02:33,282000,260
2025-03-27 19:02:06,289200,263
2025-03-27 20:02:11,273600,257
2025-03-27 21:02:22,274800,261
2025-03-27 22:02:02,278400,257
2025-03-27 23:02:15,283200,256
2025-03-28 00:08:29,273600,254
2025-03-28 01:29:28,278400,253
2025-03-28 02:28:27,279600,249
2025-03-28 03:14:14,282000,248
2025-03-28 04:02:22,277200,247
2025-03-28 05:02:19,279600,247
2025-03-28 06:03:04,276000,244
2025-03-28 07:02:13,279600,245
2025-03-28 08:02:50,278400,245
2025-03-28 09:02:14,288000,253
2025-03-28 10:02:15,291600,254
2025-03-28 11:02:04,285600,252
2025-03-28 12:03:13,300000,258
2025-03-28 13:07:54,314400,272
2025-03-28 14:02:14,324000,280
2025-03-28 15:02:23,330000,288
2025-03-28 16:02:20,345600,296
2025-03-28 17:02:11,356400,301
2025-03-28 18:03:11,330000,303
2025-03-28 19:02:03,338400,301
2025-03-28 20:02:23,326400,299
2025-03-28 21:02:04,302400,296
2025-03-28 22:02:11,285600,287
2025-03-28 23:02:10,271200,284
2025-03-29 00:08:27,275940,282
2025-03-29 01:29:25,278460,278
2025-03-29 02:27:13,284760,278
2025-03-29 03:11:33,286020,276
2025-03-29 04:02:27,291060,274
2025-03-29 05:02:03,299880,274
2025-03-29 06:02:31,304920,275
2025-03-29 07:02:09,302400,270
2025-03-29 08:02:15,313740,271
2025-03-29 09:02:08,321300,271
2025-03-29 10:02:11,328860,276
2025-03-29 11:02:03,338940,281
2025-03-29 12:02:59,327600,276
2025-03-29 13:05:54,315000,268
2025-03-29 14:01:54,320040,266
2025-03-29 15:02:08,317520,268
2025-03-29 16:02:12,320040,268
2025-03-29 17:02:07,326340,266
2025-03-29 18:02:30,328860,268
2025-03-29 19:02:11,331380,268
2025-03-29 20:01:59,316260,266
2025-03-29 21:02:01,311220,264
2025-03-29 22:02:03,313740,256
2025-03-29 23:02:12,303660,257
2025-03-30 00:09:17,306180,255
2025-03-30 01:29:39,306180,255
2025-03-30 02:30:41,298620,252
2025-03-30 03:17:17,298620,250
2025-03-30 04:02:17,299880,250
2025-03-30 05:02:15,301140,250
2025-03-30 06:02:30,308700,252
2025-03-30 07:02:15,293580,247
2025-03-30 08:02:27,296100,246
2025-03-30 09:02:12,291060,244
2025-03-30 10:02:05,293580,245
2025-03-30 11:02:12,297360,247
2025-03-30 12:03:07,289800,242
2025-03-30 13:05:39,294840,244
2025-03-30 14:02:03,294840,243
2025-03-30 15:02:03,296100,239
2025-03-30 16:02:16,299880,240
2025-03-30 17:02:04,288540,239
2025-03-30 18:02:25,289800,240
