checkpoint_time,wait_time,vehicles_in_queue
2025-03-24 14:02:16,71864,0
2025-03-24 15:02:19,68269,0
2025-03-24 16:02:34,64662,0
2025-03-24 17:02:17,61064,0
2025-03-24 18:02:37,57461,0
2025-03-24 19:02:06,53925,0
2025-03-24 20:02:20,50264,0
2025-03-24 21:02:19,46665,0
2025-03-24 22:02:07,43123,0
2025-03-24 23:02:21,39464,0
2025-03-25 00:08:55,35498,0
2025-03-25 01:29:29,30645,0
2025-03-25 02:28:29,27103,0
2025-03-25 03:13:33,24403,0
2025-03-25 04:02:45,21466,0
2025-03-25 05:02:15,17866,0
2025-03-25 06:02:52,14264,0
2025-03-25 07:02:20,10664,0
2025-03-25 08:02:46,7064,0
2025-03-25 09:02:23,3465,0
2025-03-25 10:02:25,0,0
2025-03-25 11:02:05,0,0
2025-03-25 12:03:26,0,0
2025-03-25 13:08:06,0,0
2025-03-25 14:02:27,0,0
2025-03-25 15:02:18,0,0
2025-03-25 16:02:39,0,0
2025-03-25 17:02:18,0,0
2025-03-25 18:02:53,0,0
2025-03-25 19:02:07,0,0
2025-03-25 20:02:31,0,0
