checkpoint_time,wait_time,vehicles_in_queue
2025-03-25 15:02:18,171600,177
2025-03-25 16:02:39,169200,172
2025-03-25 17:02:18,169200,172
2025-03-25 18:02:53,170400,165
2025-03-25 19:02:07,174000,162
2025-03-25 20:02:31,169200,155
2025-03-25 21:02:09,170400,158
2025-03-25 22:02:09,168000,154
2025-03-25 23:02:10,158400,148
2025-03-26 00:08:43,157200,146
2025-03-26 01:29:30,151200,139
2025-03-26 02:27:55,147600,136
2025-03-26 03:12:22,146400,135
2025-03-26 04:02:52,140400,130
2025-03-26 05:02:17,135600,124
2025-03-26 06:02:54,129600,120
2025-03-26 07:02:25,117600,113
2025-03-26 08:02:51,111600,110
2025-03-26 09:02:25,99600,108
2025-03-26 10:02:23,100800,110
2025-03-26 11:02:08,78000,107
2025-03-26 12:03:20,74400,111
2025-03-26 13:08:43,60000,109
2025-03-26 14:02:31,49200,106
2025-03-26 15:02:35,60000,105
2025-03-26 16:02:57,39600,90
2025-03-26 17:02:20,37200,85
2025-03-26 18:03:09,42000,84
2025-03-26 19:02:13,45600,79
2025-03-26 20:02:18,40800,67
2025-03-26 21:02:09,50400,69
2025-03-26 22:02:01,61200,72
2025-03-26 23:02:17,63600,70
2025-03-27 00:08:32,52800,55
2025-03-27 01:29:36,36000,47
2025-03-27 02:28:21,31200,40
2025-03-27 03:13:14,30000,36
2025-03-27 04:02:30,27600,35
2025-03-27 05:02:19,15600,31
2025-03-27 06:02:56,16800,34
2025-03-27 07:02:21,13200,32
2025-03-27 08:02:37,21600,37
2025-03-27 09:02:27,2400,23
2025-03-27 10:02:25,0,12
2025-03-27 11:02:12,0,16
2025-03-27 12:03:22,0,17
2025-03-27 13:08:13,12000,27
2025-03-27 14:02:13,3600,23
2025-03-27 15:02:21,4800,21
2025-03-27 16:02:32,1200,17
2025-03-27 17:02:13,0,15
2025-03-27 18:02:33,0,12
2025-03-27 19:02:06,0,9
2025-03-27 20:02:11,0,9
2025-03-27 21:02:22,0,12
2025-03-27 22:02:02,0,8
2025-03-27 23:02:15,0,4
2025-03-28 00:08:29,0,3
2025-03-28 01:29:28,0,1
2025-03-28 02:28:27,0,2
2025-03-28 03:14:14,0,2
2025-03-28 04:02:22,0,3
2025-03-28 05:02:19,0,1
2025-03-28 06:03:04,0,2
2025-03-28 07:02:13,0,1
2025-03-28 08:02:50,0,2
2025-03-28 09:02:14,0,1
2025-03-28 10:02:15,0,2
2025-03-28 11:02:04,0,6
2025-03-28 12:03:13,0,5
2025-03-28 13:07:54,0,1
2025-03-28 14:02:14,0,2
2025-03-28 15:02:23,0,4
2025-03-28 16:02:20,0,4
2025-03-28 17:02:11,0,6
2025-03-28 18:03:11,0,7
2025-03-28 19:02:03,0,6
2025-03-28 20:02:23,0,5
2025-03-28 21:02:04,0,2
2025-03-28 22:02:11,0,4
2025-03-28 23:02:10,0,2
2025-03-29 00:08:27,0,1
2025-03-29 01:29:25,0,2
2025-03-29 02:27:13,0,2
2025-03-29 03:11:33,0,3
2025-03-29 04:02:27,0,3
2025-03-29 05:02:03,0,5
2025-03-29 06:02:31,0,0
2025-03-29 07:02:09,0,3
2025-03-29 08:02:15,0,9
2025-03-29 09:02:08,0,5
2025-03-29 10:02:11,0,3
2025-03-29 11:02:03,0,8
2025-03-29 12:02:59,0,13
2025-03-29 13:05:54,0,11
2025-03-29 14:01:54,0,16
2025-03-29 15:02:08,0,13
2025-03-29 16:02:12,0,18
2025-03-29 17:02:07,13200,30
2025-03-29 18:02:30,68400,76
2025-03-29 19:02:11,91200,111
2025-03-29 20:01:59,108000,129
2025-03-29 21:02:01,104400,132
2025-03-29 22:02:03,103200,131
2025-03-29 23:02:12,97200,126
2025-03-30 00:09:17,99600,128
2025-03-30 01:29:39,112800,128
2025-03-30 02:30:41,114000,124
2025-03-30 03:17:17,108000,120
2025-03-30 04:02:17,111600,120
2025-03-30 05:02:15,97200,109
2025-03-30 06:02:30,97200,109
2025-03-30 07:02:15,106800,113
2025-03-30 08:02:27,124800,124
2025-03-30 09:02:12,126000,123
2025-03-30 10:02:05,133200,126
2025-03-30 11:02:12,140400,133
2025-03-30 12:03:07,142800,132
2025-03-30 13:05:39,129600,129
2025-03-30 14:02:03,135600,130
2025-03-30 15:02:03,132000,130
2025-03-30 16:02:16,139200,128
2025-03-30 17:02:04,146400,134
2025-03-30 18:02:25,129600,122
2025-03-30 19:02:03,130800,123
2025-03-30 20:02:14,133200,122
