checkpoint_time,wait_time,vehicles_in_queue
2025-03-18 11:02:06,0,15
2025-03-18 12:03:16,4620,25
2025-03-18 13:08:02,3300,36
2025-03-18 14:02:22,3960,36
2025-03-18 15:02:35,7920,38
2025-03-18 16:02:34,9900,46
2025-03-18 17:02:09,9900,53
2025-03-18 18:02:50,15840,58
2025-03-18 19:01:52,9240,53
2025-03-18 20:02:20,11220,48
2025-03-18 21:02:07,19140,56
2025-03-18 22:02:16,21780,60
2025-03-18 23:02:14,23100,60
2025-03-19 00:08:37,28380,67
2025-03-19 01:29:35,29700,68
2025-03-19 02:27:52,27720,70
2025-03-19 03:11:51,32340,68
2025-03-19 04:02:24,33660,68
2025-03-19 05:02:22,33000,66
2025-03-19 06:03:10,44220,81
2025-03-19 07:02:16,62040,100
2025-03-19 08:03:04,64020,106
2025-03-19 09:02:29,63360,113
2025-03-19 10:02:21,64020,118
2025-03-19 11:02:03,71940,126
2025-03-19 12:03:18,73260,131
2025-03-19 13:07:54,77220,135
2025-03-19 14:02:22,81180,144
2025-03-19 15:02:28,85140,146
2025-03-19 16:02:38,87120,147
2025-03-19 17:02:30,85140,147
2025-03-19 18:02:45,85800,150
2025-03-19 19:02:10,87780,153
2025-03-19 20:02:32,81180,142
2025-03-19 21:02:13,79860,140
2025-03-19 22:02:16,75900,132
2025-03-19 23:02:28,71280,132
